               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081749,            0.028265,                   0,             0.53663,             0.59359,             0.54072,             0.27314,             0.05252,            0.012081,                   0,            0.070448,           0.0032836,           0.0032836
                   1,            0.052704,            0.020554,                   0,             0.56652,             0.58738,             0.62766,             0.34814,            0.041249,           0.0079173,                   0,            0.040435,           0.0066038,           0.0066038
                   2,             0.04448,            0.016768,                   0,             0.78734,             0.79252,             0.80904,             0.53442,            0.030316,           0.0080032,                   0,            0.010408,           0.0099108,           0.0099108
                   3,             0.03693,             0.01424,                   0,             0.92011,             0.85756,             0.92714,             0.64289,            0.024691,           0.0065582,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,            0.034546,            0.014138,                   0,             0.92883,             0.86143,             0.93063,             0.65552,            0.023231,           0.0063544,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,            0.031569,            0.012822,                   0,             0.92309,             0.89365,             0.94105,             0.71176,            0.020217,           0.0057055,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,            0.028531,            0.012477,                   0,             0.91723,             0.89866,             0.94389,             0.75819,            0.018805,           0.0055254,                   0,            0.009901,            0.009901,            0.009901
                   7,            0.029405,            0.012663,                   0,             0.92183,             0.89024,             0.94039,             0.77036,            0.017049,           0.0054736,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,            0.027493,            0.011562,                   0,             0.93266,             0.88108,             0.93454,             0.78358,            0.015539,           0.0055006,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,            0.027676,            0.011676,                   0,              0.9415,             0.90279,             0.95125,             0.78029,            0.016327,           0.0050384,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,             0.02647,            0.011131,                   0,             0.91925,             0.85005,             0.91343,             0.73947,            0.017861,           0.0059472,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.025647,            0.011373,                   0,             0.96429,             0.89371,             0.94756,             0.80326,             0.01573,           0.0051263,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.024905,            0.010807,                   0,             0.95793,             0.87132,             0.94586,             0.82522,            0.014403,           0.0051093,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,            0.025481,            0.011793,                   0,             0.89627,             0.86867,             0.93151,             0.79628,            0.015269,           0.0056694,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,               0.025,            0.011506,                   0,             0.96404,              0.8871,             0.95275,             0.83534,            0.013942,           0.0049968,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,             0.02569,            0.010926,                   0,             0.94568,             0.89555,             0.95009,             0.82906,            0.013345,           0.0050621,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,            0.024046,             0.01106,                   0,              0.9562,             0.89142,             0.94522,             0.80803,            0.015831,            0.005171,                   0,            0.009703,            0.009703,            0.009703
                  17,            0.023353,            0.010458,                   0,             0.94438,             0.90279,             0.95664,             0.84591,            0.013396,           0.0047623,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,            0.023949,            0.010599,                   0,             0.95137,             0.91046,             0.95647,             0.84032,            0.013392,           0.0046138,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,            0.023431,            0.010609,                   0,             0.92981,             0.89042,             0.94684,             0.81979,            0.014109,           0.0051468,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,            0.023487,            0.010617,                   0,             0.96352,             0.90141,             0.95572,             0.83109,            0.013764,           0.0048312,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,            0.023226,            0.010675,                   0,             0.94958,             0.90796,             0.95643,             0.84661,            0.013156,           0.0045795,                   0,            0.009604,            0.009604,            0.009604
                  22,            0.023737,            0.010854,                   0,               0.932,             0.90176,             0.95009,             0.84285,            0.013524,           0.0048337,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,            0.024561,            0.011514,                   0,             0.94175,             0.85273,             0.92254,              0.8137,            0.014476,             0.00565,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,            0.022933,            0.010448,                   0,             0.95058,             0.91502,             0.96647,             0.86412,            0.012697,           0.0045225,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,            0.022352,            0.010415,                   0,             0.94962,               0.909,             0.95685,             0.84948,            0.012893,           0.0046249,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,            0.021967,            0.010236,                   0,             0.94423,             0.90486,             0.95253,             0.85305,            0.012781,           0.0047156,                   0,            0.009505,            0.009505,            0.009505
                  27,            0.021977,            0.010105,                   0,             0.96447,             0.89826,             0.95342,             0.85753,            0.012847,            0.004596,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,            0.022335,            0.010482,                   0,             0.94037,             0.89555,             0.95421,             0.86834,            0.012279,           0.0050022,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,            0.021657,            0.010246,                   0,             0.95297,             0.88018,             0.94938,             0.84616,            0.012726,           0.0046887,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,            0.021378,            0.010189,                   0,             0.92549,             0.92347,             0.95756,             0.86171,            0.012404,           0.0045338,                   0,           0.0094258,           0.0094258,           0.0094258
                  31,            0.022013,            0.010444,                   0,             0.94477,             0.88452,             0.93813,              0.8446,            0.012669,           0.0050107,                   0,            0.009406,            0.009406,            0.009406
                  32,            0.022191,            0.009978,                   0,             0.93317,             0.90383,             0.95456,              0.8644,            0.011977,            0.004532,                   0,           0.0093862,           0.0093862,           0.0093862
                  33,            0.020789,           0.0097734,                   0,             0.95233,             0.90901,             0.95484,              0.8656,            0.012043,           0.0044579,                   0,           0.0093664,           0.0093664,           0.0093664
                  34,             0.02225,            0.010068,                   0,             0.96898,             0.90435,             0.95924,             0.87025,            0.012203,           0.0044126,                   0,           0.0093466,           0.0093466,           0.0093466
                  35,            0.020552,           0.0096312,                   0,             0.96951,             0.89969,             0.95612,             0.86142,            0.012119,           0.0044944,                   0,           0.0093268,           0.0093268,           0.0093268
                  36,             0.02145,            0.010079,                   0,             0.96065,             0.90877,             0.96276,             0.88004,            0.011755,           0.0042801,                   0,            0.009307,            0.009307,            0.009307
                  37,            0.019948,            0.009253,                   0,             0.96271,             0.89245,             0.95564,             0.86649,            0.012092,           0.0044643,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,            0.020547,            0.010084,                   0,             0.95206,             0.92411,             0.96571,             0.87753,            0.011547,           0.0041818,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.020885,           0.0097029,                   0,             0.96195,             0.90693,             0.95884,             0.87592,            0.011952,             0.00439,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.020063,           0.0093932,                   0,              0.9504,             0.89762,             0.96138,             0.87829,             0.01147,           0.0044417,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.020585,           0.0095257,                   0,             0.95684,             0.90279,             0.96014,             0.87446,            0.011889,           0.0042832,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.019282,           0.0094268,                   0,             0.94337,             0.91309,             0.96117,             0.88153,            0.011824,           0.0043891,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.020299,           0.0098316,                   0,             0.95875,             0.90693,             0.96044,             0.87575,            0.011431,            0.004248,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,             0.01889,           0.0089459,                   0,             0.94548,             0.91417,             0.96038,              0.8755,            0.011737,           0.0042505,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.019663,             0.00912,                   0,             0.94887,             0.90693,              0.9605,             0.87701,            0.011498,           0.0044875,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.018914,           0.0089997,                   0,             0.96251,             0.90277,             0.95779,             0.88157,            0.011393,           0.0043825,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.019591,           0.0095681,                   0,             0.96359,             0.90321,             0.95838,             0.87278,            0.011443,           0.0043861,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.019452,           0.0090547,                   0,             0.95816,             0.89987,             0.95602,             0.87845,            0.011385,           0.0044567,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,            0.019445,           0.0092444,                   0,             0.95792,             0.90176,             0.95965,             0.87962,            0.011981,           0.0041772,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.019592,           0.0091568,                   0,             0.95491,             0.91624,             0.96245,             0.89127,            0.011317,           0.0041621,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.018968,            0.009293,                   0,             0.95329,             0.92037,             0.95885,             0.88405,            0.010856,           0.0041407,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.019311,           0.0092501,                   0,              0.9559,             0.92244,             0.96292,             0.89143,            0.011178,           0.0040891,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.019584,           0.0089795,                   0,             0.96163,             0.90705,             0.96169,             0.89111,            0.011174,           0.0040882,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,             0.01915,           0.0094633,                   0,              0.9745,             0.88211,             0.95418,              0.8867,             0.01114,           0.0043074,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.019816,            0.009614,                   0,             0.96603,             0.91153,             0.96484,             0.89654,            0.010966,           0.0041445,                   0,           0.0089308,           0.0089308,           0.0089308
