               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073628,             0.02721,                   0,              0.4792,             0.66535,             0.52796,             0.25395,            0.047862,           0.0089506,                   0,            0.070283,           0.0033019,           0.0033019
                   1,            0.047048,             0.01815,                   0,             0.88295,             0.87727,             0.92461,             0.60769,            0.030661,           0.0060238,                   0,             0.04027,           0.0066221,           0.0066221
                   2,            0.038808,            0.014307,                   0,             0.89505,             0.87509,             0.91969,             0.58831,            0.028889,           0.0061275,                   0,            0.010244,           0.0099291,           0.0099291
                   3,             0.03309,            0.012853,                   0,             0.94329,              0.9262,             0.96108,             0.67265,            0.023007,           0.0053088,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,            0.030101,            0.012335,                   0,             0.96055,             0.93015,             0.96158,             0.71325,            0.021025,           0.0051865,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,             0.02822,            0.011687,                   0,             0.96459,             0.94591,             0.97673,             0.76805,            0.018947,           0.0045002,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,            0.027002,            0.011336,                   0,             0.95869,             0.94321,             0.97113,             0.76774,            0.018376,           0.0044598,                   0,            0.009901,            0.009901,            0.009901
                   7,             0.02633,            0.010991,                   0,             0.96711,             0.95383,             0.97876,              0.7957,            0.018005,           0.0043175,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,            0.025221,            0.011193,                   0,             0.96526,             0.96212,             0.98348,              0.8257,            0.016025,           0.0040086,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,            0.024123,            0.010655,                   0,             0.96168,             0.96055,             0.98156,             0.81752,            0.015052,           0.0040821,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,            0.024636,            0.010897,                   0,             0.96373,             0.93311,             0.97042,             0.80517,            0.015466,           0.0045801,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.023955,            0.010398,                   0,             0.96641,             0.96212,             0.98414,             0.82342,            0.015089,           0.0041044,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.023927,            0.010603,                   0,              0.9758,              0.9562,             0.98517,             0.83704,            0.014387,           0.0038805,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,            0.023731,            0.010835,                   0,             0.96506,             0.95501,             0.98512,             0.81791,             0.01473,           0.0039782,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.023166,            0.010144,                   0,             0.97336,             0.96409,             0.98817,             0.81223,            0.015884,           0.0038297,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,            0.022778,            0.010276,                   0,             0.97073,              0.9633,              0.9846,             0.83615,            0.014387,           0.0038016,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,            0.022739,            0.010198,                   0,             0.98127,             0.97186,             0.98969,             0.85649,            0.013596,           0.0035065,                   0,            0.009703,            0.009703,            0.009703
                  17,            0.022199,            0.010152,                   0,             0.97728,             0.96448,             0.98797,             0.84002,            0.013908,           0.0036951,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,            0.021707,           0.0097261,                   0,             0.97222,             0.96843,             0.98846,             0.84276,              0.0138,           0.0037073,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,            0.021502,           0.0094473,                   0,             0.97219,             0.96555,              0.9881,             0.86496,            0.012942,           0.0035448,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,            0.021323,           0.0098582,                   0,             0.97849,             0.96935,             0.98944,             0.86433,            0.012865,           0.0035395,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,            0.021799,           0.0096644,                   0,              0.9753,             0.96593,             0.98387,             0.84453,              0.0134,           0.0035779,                   0,            0.009604,            0.009604,            0.009604
                  22,            0.021267,            0.009972,                   0,             0.96672,             0.96882,              0.9876,             0.85866,            0.013302,           0.0035284,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,            0.020379,           0.0094492,                   0,             0.97501,             0.96993,             0.98955,             0.86841,            0.012665,           0.0034064,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,            0.020081,            0.009308,                   0,             0.97003,             0.97091,             0.98951,             0.87446,            0.012669,           0.0033129,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,            0.020457,           0.0095761,                   0,             0.98333,             0.97119,             0.99055,             0.86894,            0.012883,            0.003406,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,            0.020454,           0.0093537,                   0,             0.97645,             0.97395,             0.98871,             0.87386,            0.012453,            0.003309,                   0,            0.009505,            0.009505,            0.009505
                  27,            0.020211,           0.0093335,                   0,             0.97553,             0.96922,             0.98822,             0.86489,            0.013023,            0.003467,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,            0.020204,           0.0092945,                   0,              0.9727,              0.9708,             0.99018,             0.87311,            0.012367,           0.0033734,                   0,           0.0094654,           0.0094654,           0.0094654
