               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12562,            0.028927,                   0,            0.038963,            0.095238,            0.020705,            0.004356,             0.10338,              0.0237,                   0,              0.0964,              0.0004,              0.0004
                   1,              0.1208,            0.028278,                   0,             0.04562,             0.14286,            0.023914,           0.0052339,            0.097141,            0.021944,                   0,            0.091891,          0.00089109,          0.00089109
                   2,             0.10867,            0.027803,                   0,            0.061796,             0.19048,            0.035117,           0.0086979,            0.086815,            0.019874,                   0,            0.087372,           0.0013723,           0.0013723
                   3,             0.08853,            0.024773,                   0,            0.062382,             0.19048,            0.041218,            0.011077,            0.073108,            0.018929,                   0,            0.082844,           0.0018436,           0.0018436
                   4,            0.091616,            0.026322,                   0,             0.12026,             0.15873,            0.076132,            0.020592,            0.069257,            0.017145,                   0,            0.078305,            0.002305,            0.002305
                   5,            0.076253,            0.024534,                   0,            0.020082,             0.39683,            0.023067,           0.0054444,             0.07413,            0.015423,                   0,            0.073756,           0.0027564,           0.0027564
                   6,            0.077627,            0.022233,                   0,            0.034117,             0.77778,             0.11551,            0.027205,            0.062426,            0.014468,                   0,            0.069198,            0.003198,            0.003198
                   7,            0.069491,            0.021617,                   0,             0.20908,             0.42857,             0.16482,            0.039931,            0.058808,             0.01415,                   0,             0.06463,           0.0036297,           0.0036297
                   8,            0.070961,            0.021239,                   0,             0.17414,             0.22222,             0.14038,            0.039052,             0.05813,            0.013134,                   0,            0.060052,           0.0040515,           0.0040515
                   9,            0.075822,            0.019737,                   0,             0.18294,             0.33333,             0.12936,            0.034182,            0.058566,            0.012136,                   0,            0.055463,           0.0044634,           0.0044634
                  10,            0.078765,            0.015934,                   0,             0.19293,             0.30738,             0.12314,            0.022478,            0.064309,            0.010938,                   0,            0.050865,           0.0048654,           0.0048654
                  11,            0.069737,            0.018021,                   0,            0.074113,             0.25397,            0.080863,            0.011775,             0.06898,            0.009672,                   0,            0.046257,           0.0052575,           0.0052575
                  12,            0.072266,            0.018938,                   0,             0.27275,             0.55556,             0.28943,             0.10232,            0.059223,            0.010176,                   0,             0.04164,           0.0056397,           0.0056397
                  13,            0.067538,            0.016793,                   0,             0.26385,             0.55556,             0.26375,            0.075881,            0.058947,           0.0097475,                   0,            0.037012,            0.006012,            0.006012
                  14,            0.060457,            0.017567,                   0,             0.33982,             0.50794,             0.30702,             0.12032,            0.064404,           0.0082819,                   0,            0.032374,           0.0063744,           0.0063744
                  15,            0.068541,             0.01456,                   0,             0.28155,             0.53968,             0.29477,            0.096588,            0.061522,           0.0086315,                   0,            0.027727,           0.0067268,           0.0067268
                  16,            0.067693,            0.016218,                   0,             0.51534,             0.59076,             0.48244,             0.19283,            0.067749,           0.0070647,                   0,            0.023069,           0.0070694,           0.0070694
                  17,            0.064329,            0.014734,                   0,             0.39997,              0.5873,              0.4202,             0.12246,            0.053987,           0.0078037,                   0,            0.018402,           0.0074021,           0.0074021
                  18,            0.063191,            0.015937,                   0,             0.56369,             0.65079,             0.49199,             0.17855,            0.060096,           0.0069356,                   0,            0.013725,           0.0077249,           0.0077249
