               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.035238,            0.013417,                   0,             0.43631,             0.67105,             0.33884,            0.089723,            0.028398,           0.0045208,                   0,            0.070588,            0.003268,            0.003268
                   1,            0.032419,             0.01202,                   0,             0.31585,             0.70161,             0.27122,             0.11292,            0.028737,           0.0041901,                   0,            0.040458,           0.0064706,           0.0064706
                   2,            0.036886,            0.011886,                   0,             0.25735,             0.65789,             0.22383,            0.092378,            0.030602,           0.0042074,                   0,            0.010195,           0.0095412,           0.0095412
                   3,            0.037031,            0.011066,                   0,             0.21849,             0.33553,             0.14579,            0.035862,            0.030345,           0.0042069,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.035721,            0.011094,                   0,             0.62189,             0.52632,             0.55324,               0.199,            0.023741,           0.0045583,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.032692,            0.010903,                   0,             0.55811,             0.49855,             0.45232,             0.13024,            0.024623,            0.004844,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.032293,             0.01058,                   0,             0.55142,             0.61842,              0.5627,             0.18928,            0.020789,           0.0040509,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.029732,            0.010027,                   0,             0.56107,             0.53289,             0.45324,             0.18913,            0.024898,           0.0042988,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.028213,           0.0098463,                   0,             0.50907,             0.56579,             0.42313,              0.1246,            0.025653,           0.0050227,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.027015,           0.0099601,                   0,             0.48718,             0.54605,             0.40283,             0.11662,            0.023306,           0.0048545,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.027321,            0.010235,                   0,             0.39581,             0.65943,              0.3149,            0.086569,             0.02636,           0.0047414,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.025935,           0.0097467,                   0,             0.45264,             0.63158,             0.38824,             0.12257,            0.024716,            0.004925,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.023843,           0.0096568,                   0,             0.43574,             0.69079,              0.3839,             0.12007,            0.025392,            0.004707,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.024739,           0.0093714,                   0,             0.48427,             0.63816,             0.42138,              0.1618,            0.021985,           0.0050001,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.022234,           0.0090369,                   0,             0.40047,             0.56579,             0.32163,             0.10231,            0.024517,           0.0049472,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.023453,           0.0094814,                   0,             0.38628,             0.59868,             0.34232,             0.10382,            0.024292,           0.0049952,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.023988,           0.0093364,                   0,             0.42185,             0.69605,             0.36841,             0.13782,            0.022184,           0.0048805,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.022693,           0.0090812,                   0,              0.4031,             0.67763,             0.37561,             0.14451,            0.021555,           0.0048886,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.020268,           0.0089338,                   0,              0.3458,             0.63816,             0.33934,             0.13091,            0.022407,           0.0051809,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.020429,           0.0084993,                   0,              0.3717,             0.61842,             0.33369,             0.11413,            0.023628,           0.0053091,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.018061,           0.0086604,                   0,             0.37543,             0.62483,             0.31772,             0.12067,            0.022434,           0.0055414,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.020145,           0.0088794,                   0,             0.35046,             0.61842,             0.32204,             0.12301,             0.02168,           0.0054019,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.018834,           0.0084656,                   0,             0.33714,             0.59211,             0.31355,             0.10587,            0.022671,            0.005849,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.017746,            0.008746,                   0,             0.37517,             0.63205,             0.33801,             0.12279,            0.021657,           0.0055143,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.018309,           0.0084044,                   0,              0.3842,             0.59868,             0.33793,             0.14413,            0.018933,           0.0057059,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.017403,            0.008118,                   0,             0.35442,             0.57237,              0.3376,             0.14026,             0.02015,           0.0056524,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.016716,           0.0086159,                   0,             0.40133,             0.50658,              0.3516,             0.13993,            0.019002,           0.0054725,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.017428,           0.0084356,                   0,             0.37596,               0.625,             0.33318,             0.11916,            0.021481,           0.0057919,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.016179,           0.0083376,                   0,             0.39233,             0.66264,             0.37445,             0.13819,            0.019538,           0.0058993,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.016397,           0.0082633,                   0,             0.36577,             0.67763,             0.32215,             0.12431,            0.020879,           0.0059868,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.015434,           0.0081612,                   0,             0.34277,             0.68421,             0.28435,             0.10429,            0.021382,           0.0057358,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.015158,           0.0079773,                   0,              0.3544,             0.66813,             0.30511,              0.1264,            0.019752,           0.0053503,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.014864,           0.0081064,                   0,             0.36847,             0.70245,             0.34009,             0.13536,            0.019969,           0.0055085,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.015731,            0.007854,                   0,             0.39734,             0.58124,             0.38437,             0.14818,            0.020653,           0.0051158,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.015967,           0.0077697,                   0,             0.42061,             0.57237,             0.38288,             0.15316,            0.020121,           0.0052911,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.014687,           0.0078073,                   0,             0.42239,             0.59211,             0.39552,             0.15384,             0.02061,           0.0049834,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.013993,           0.0074443,                   0,             0.39301,              0.6347,             0.35305,             0.12914,            0.022174,           0.0054311,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.014742,           0.0079579,                   0,             0.39193,             0.61184,             0.37851,             0.14353,            0.022336,           0.0051273,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.013624,           0.0075696,                   0,             0.37852,             0.61308,             0.35085,             0.13587,            0.021694,           0.0053087,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.014051,           0.0075948,                   0,             0.39361,             0.65789,             0.37268,             0.14259,            0.021031,           0.0052291,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.012306,           0.0075517,                   0,             0.43041,             0.55263,             0.38629,             0.15587,            0.020039,           0.0053317,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.014073,           0.0079554,                   0,             0.40705,             0.54605,             0.35531,             0.14348,             0.01966,           0.0055135,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.01388,           0.0077049,                   0,             0.39157,             0.61184,              0.3493,             0.13965,            0.020198,           0.0056271,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.012021,           0.0070616,                   0,             0.47993,             0.53426,             0.42042,             0.16554,            0.020505,           0.0051582,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.011065,           0.0073105,                   0,             0.47838,             0.55263,             0.42655,             0.17198,            0.020143,           0.0053359,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.012246,           0.0073464,                   0,             0.50059,             0.51316,             0.42222,             0.17033,             0.02012,           0.0050627,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.012139,           0.0070726,                   0,             0.44451,             0.58553,             0.43324,             0.17348,            0.019957,           0.0049389,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.012321,           0.0075906,                   0,             0.42549,             0.59446,             0.41629,             0.17369,            0.019945,           0.0050819,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.011328,           0.0076122,                   0,             0.44012,             0.57237,             0.40606,             0.16766,            0.020126,           0.0050404,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.011389,           0.0072236,                   0,              0.4532,             0.54605,             0.39575,             0.16133,            0.020526,           0.0050105,                   0,            0.000496,            0.000496,            0.000496
